;Title;Keywords;url
0;Union Budget 2022: এয়ার ইন্ডিয়ার ঋণশোধে আরও ৫১,৯৭১ কোটি টাকা বাজেটে বরাদ্দ;ঋণশধ,union,কট,এযর,৫১৯৭১,টক,বরদদ,আরও,বজট,ইনডযর;https://bengali.indianexpress.com/business/budget-2022-govt-allocates-additional-rs-51971-cr-to-settle-air-indias-debt-403636/
0;তৃতীয় ঢেউয়ের আবহে দেশব্যাপী পাইকারি মুদ্রাস্ফীতি বেড়ে ৫.৫৯%! পাঁচ মাসে সর্বাধিক বৃদ্ধি;সরবধক,বড,বদধ,মস,পইকর,মদরসফত,ততয,পচ,৫৫৯,দশবযপ;https://bengali.indianexpress.com/business/indias-consumer-price-index-shows-5-months-high-and-logs-to-5-59-business/
0;অসুস্থ ব্যক্তির প্রাণ বাঁচিয়ে ‘হিরো’ ডেলিভারি বয়, সুইগির তরফে জানানো হল অভিনন্দন;ডলভর,বযকতর,তরফ,বচয়,হল,হর,জনন,পরণ,সইগর,বয়;https://bengali.indianexpress.com/viral/swiggy-shares-heartwarming-story-of-delivery-person-who-saved-a-mans-life/
0;বহুতলে আগুনের মধ্যে আটকে পড়া শিশুকন্যাকে উদ্ধার করে ‘হিরো’ দুই ব্যক্তি;আটক,উদধর,পড়,কর,হর,বযকত,মধয,শশকনযক,দই,বহতল;https://bengali.indianexpress.com/viral/brave-samaritans-rescue-girl-from-burning-building-in-russia/
0;শখের দাম লাখ টাকা, মেয়েকে হেলিকপ্টারে চাপিয়ে শ্বশুরবাড়ি পাঠালেন বাবা;দম,লখ,বব,শখর,হলকপটর,চপয়,পঠলন,টক,শবশরবড়,ময়ক;https://bengali.indianexpress.com/viral/rajasthan-man-arranges-helicopter-for-his-daughter-vidaai-ceremony/
0;3D pen Artist Payal Sheth;sheth,3d,artist,pen,payal;https://www.facebook.com/3D-pen-Artist-Payal-Sheth-607346589779870/
0;"ദിലീപിന്റെ ഫോണുകള്‍ കോടതിയിൽ തുറക്കില്ല; തിരുവനന്തപുരത്തെ ലാബില്‍ പരിശോധിക്കും";ഫണകള,ലബല,കടതയൽ,പരശധകക,ദലപനറ,തരവനനതപരതത,തറകകലല;https://malayalam.indianexpress.com/kerala-news/actress-attack-case-dileeps-phone-crime-branch-investigation-612837/
0;"‘സില്‍വര്‍ലൈനില്‍ കോണ്‍ഗ്രസ് നിലപാട് മാറ്റിയിട്ടില്ല’; വിശദീകരണവുമായി സുധാകരന്‍";സലവരലനല,കണഗരസ,വശദകരണവമയ,മററയടടലല,നലപട,സധകരന;https://malayalam.indianexpress.com/kerala-news/kpcc-president-k-sudhakaran-on-k-rail-project-612817/
0;"‘നടിയെ ആക്രമിച്ച കേസിലെ പുനരന്വേഷണ തടയണം’; ഹൈക്കോടതിയിൽ ദിലീപ്";ആകരമചച,കസല,ദലപ,നടയ,തടയണ,പനരനവഷണ,ഹകകടതയൽ;https://malayalam.indianexpress.com/kerala-news/actress-attack-case-dileep-files-against-further-investigation-high-court612815/
0;"വാവ സുരേഷിനെ വെന്റിലേറ്ററില്‍ നിന്ന് മാറ്റി; 48 മണിക്കൂര്‍ കൂടി നിരീക്ഷണത്തില്‍ തുടരും";വനറലറററല,മററ,നനന,തടര,മണകകര,നരകഷണതതല,കട,വവ,48,സരഷന;https://malayalam.indianexpress.com/kerala-news/vava-suresh-health-update-progress-in-body-reactions-612754/
